NAME,population,median_household_income,state,county,tract
Census Tract 4001; Alameda County; California,3094.0,250001.0,06,001,400100
Census Tract 4002; Alameda County; California,2093.0,225880.0,06,001,400200
Census Tract 4003; Alameda County; California,5727.0,157731.0,06,001,400300
Census Tract 4004; Alameda County; California,4395.0,159612.0,06,001,400400
Census Tract 4005; Alameda County; California,3822.0,96250.0,06,001,400500
Census Tract 4006; Alameda County; California,1957.0,134583.0,06,001,400600
Census Tract 4007; Alameda County; California,4404.0,111302.0,06,001,400700
Census Tract 4008; Alameda County; California,4583.0,129844.0,06,001,400800
Census Tract 4009; Alameda County; California,2752.0,111131.0,06,001,400900
Census Tract 4010; Alameda County; California,6529.0,131845.0,06,001,401000
Census Tract 4011; Alameda County; California,5627.0,95479.0,06,001,401100
Census Tract 4012; Alameda County; California,3068.0,117593.0,06,001,401200
Census Tract 4013; Alameda County; California,4368.0,105556.0,06,001,401300
Census Tract 4014; Alameda County; California,4876.0,87208.0,06,001,401400
Census Tract 4015; Alameda County; California,2827.0,62744.0,06,001,401500
Census Tract 4016; Alameda County; California,2617.0,135234.0,06,001,401600
Census Tract 4017; Alameda County; California,3519.0,146840.0,06,001,401700
Census Tract 4018; Alameda County; California,1816.0,69500.0,06,001,401800
Census Tract 4022; Alameda County; California,2385.0,111364.0,06,001,402200
Census Tract 4024; Alameda County; California,2727.0,42078.0,06,001,402400
Census Tract 4025; Alameda County; California,1877.0,-666666666.0,06,001,402500
Census Tract 4026; Alameda County; California,1255.0,48362.0,06,001,402600
Census Tract 4027; Alameda County; California,2056.0,97250.0,06,001,402700
Census Tract 4028.01; Alameda County; California,2911.0,42546.0,06,001,402801
Census Tract 4028.02; Alameda County; California,1527.0,18552.0,06,001,402802
Census Tract 4029; Alameda County; California,2111.0,41094.0,06,001,402900
Census Tract 4030; Alameda County; California,3125.0,50966.0,06,001,403000
Census Tract 4031; Alameda County; California,2174.0,154095.0,06,001,403100
Census Tract 4033.01; Alameda County; California,1807.0,35694.0,06,001,403301
Census Tract 4033.02; Alameda County; California,2687.0,142114.0,06,001,403302
Census Tract 4034.01; Alameda County; California,2641.0,71979.0,06,001,403401
Census Tract 4034.02; Alameda County; California,955.0,91731.0,06,001,403402
Census Tract 4035.01; Alameda County; California,5421.0,123981.0,06,001,403501
Census Tract 4035.02; Alameda County; California,1885.0,95556.0,06,001,403502
Census Tract 4036; Alameda County; California,4902.0,105588.0,06,001,403600
Census Tract 4037.01; Alameda County; California,2875.0,91030.0,06,001,403701
Census Tract 4037.02; Alameda County; California,2264.0,120795.0,06,001,403702
Census Tract 4038; Alameda County; California,3996.0,153750.0,06,001,403800
Census Tract 4039; Alameda County; California,3864.0,104342.0,06,001,403900
Census Tract 4040; Alameda County; California,2984.0,104919.0,06,001,404000
Census Tract 4041.01; Alameda County; California,3155.0,123508.0,06,001,404101
Census Tract 4041.02; Alameda County; California,2623.0,108750.0,06,001,404102
Census Tract 4042; Alameda County; California,3584.0,246193.0,06,001,404200
Census Tract 4043; Alameda County; California,3510.0,215972.0,06,001,404300
Census Tract 4044; Alameda County; California,5657.0,218272.0,06,001,404400
Census Tract 4045.01; Alameda County; California,1830.0,239271.0,06,001,404501
Census Tract 4045.02; Alameda County; California,6038.0,246431.0,06,001,404502
Census Tract 4046; Alameda County; California,4767.0,226838.0,06,001,404600
Census Tract 4047; Alameda County; California,2223.0,250001.0,06,001,404700
Census Tract 4048; Alameda County; California,2622.0,97813.0,06,001,404800
